"N.init","N","P","r","K"
175,7.58036200035891,0.2,0.01,175
175,0.00492673146789456,0.6,0.01,175
175,3.0746467144918e-06,1,0.01,175
175,84.1519878124376,0.2,0.28,175
175,0.562260962094158,0.6,0.28,175
175,0.000482209525474377,1,0.28,175
175,115.179197731684,0.2,0.42,175
175,4.80819300555987,0.6,0.42,175
175,0.00625538220531234,1,0.42,175
87.5,3.19296684076195,0.2,0.01,175
87.5,0.00201050929672141,0.6,0.01,175
87.5,1.21029808393424e-06,1,0.01,175
87.5,79.1550179783429,0.2,0.28,175
87.5,0.32410002459584,0.6,0.28,175
87.5,0.000237203422411367,1,0.28,175
87.5,114.608269014675,0.2,0.42,175
87.5,3.49798978665481,0.6,0.42,175
87.5,0.00345805950372307,1,0.42,175
2,0.0609029595312415,0.2,0.01,175
2,3.75773590029647e-05,0.6,0.01,175
2,2.50380472174057e-08,1,0.01,175
2,11.7897625670028,0.2,0.28,175
2,0.00825744952917444,0.6,0.28,175
2,5.03133974793524e-06,1,0.28,175
2,77.2152994657768,0.2,0.42,175
2,0.134084433124054,0.6,0.42,175
2,8.37524617863724e-05,1,0.42,175
175,7.16697259553966,0.2,0.01,100
175,0.00482938619733173,0.6,0.01,100
175,2.98989513180515e-06,1,0.01,100
175,44.7817833881076,0.2,0.28,100
175,0.356486698434922,0.6,0.28,100
175,0.000358947100049959,1,0.28,100
175,62.1102730510871,0.2,0.42,100
175,2.58153937314852,0.6,0.42,100
175,0.00411676520912372,1,0.42,100
87.5,3.11556953268178,0.2,0.01,100
87.5,0.00199373522663676,0.6,0.01,100
87.5,1.19419596059795e-06,1,0.01,100
87.5,43.2348049325157,0.2,0.28,100
87.5,0.242232033556434,0.6,0.28,100
87.5,0.000202454843019514,1,0.28,100
87.5,61.926528938975,0.2,0.42,100
87.5,2.13987789884738,0.6,0.42,100
87.5,0.00267670518524552,1,0.42,100
2,0.0608738882924693,0.2,0.01,100
2,3.75726550009911e-05,0.6,0.01,100
2,2.5004350635825e-08,1,0.01,100
2,10.4665785876171,0.2,0.28,100
2,0.00818626838048608,0.6,0.28,100
2,4.98042204816902e-06,1,0.28,100
2,48.8377649082229,0.2,0.42,100
2,0.130864465254964,0.6,0.42,100
2,8.31587687766078e-05,1,0.42,100
175,6.35631554335589,0.2,0.01,50
175,0.00461631225999094,0.6,0.01,50
175,2.88913422563894e-06,1,0.01,50
175,21.2120357919694,0.2,0.28,50
175,0.191298181372764,0.6,0.28,50
175,0.000224203717451547,1,0.28,50
175,29.6976117503664,0.2,0.42,50
175,1.23244937392907,0.6,0.42,50
175,0.00227921495544078,1,0.42,50
87.5,2.94876944738028,0.2,0.01,50
87.5,0.00195569111299906,0.6,0.01,50
87.5,1.18165764542809e-06,1,0.01,50
87.5,20.845659789772,0.2,0.28,50
87.5,0.152223184125803,0.6,0.28,50
87.5,0.000150749343859013,1,0.28,50
87.5,29.65333936218,0.2,0.42,50
87.5,1.11973587135679,0.6,0.42,50
87.5,0.00175094898995763,1,0.42,50
2,0.0608061632924817,0.2,0.01,50
2,3.75616816635339e-05,0.6,0.01,50
2,2.49267690154834e-08,1,0.01,50
2,8.29440683951033,0.2,0.28,50
2,0.00802473538033636,0.6,0.28,50
2,4.93536420556847e-06,1,0.28,50
2,26.2382879358933,0.2,0.42,50
2,0.123920547619047,0.6,0.42,50
2,8.17357431750524e-05,1,0.42,50
175,5.17992961872807,0.2,0.01,25
175,0.00424167482192241,0.6,0.01,25
175,2.88419623065495e-06,1,0.01,25
175,10.3007386345111,0.2,0.28,25
175,0.0989262277026808,0.6,0.28,25
175,0.000127605965418658,1,0.28,25
175,14.493133557275,0.2,0.42,25
175,0.600725997801886,0.6,0.42,25
175,0.00119984901406725,1,0.42,25
87.5,2.66340026593252,0.2,0.01,25
87.5,0.00188377283454833,0.6,0.01,25
87.5,1.15375848053312e-06,1,0.01,25
87.5,10.2122459073772,0.2,0.28,25
87.5,0.0872194682474225,0.6,0.28,25
87.5,9.96174304664322e-05,1,0.28,25
87.5,14.4823876600015,0.2,0.42,25
87.5,0.572286766716595,0.6,0.42,25
87.5,0.00103390238391711,1,0.42,25
2,0.0606711647766229,0.2,0.01,25
2,3.75098486130704e-05,0.6,0.01,25
2,2.47756304067114e-08,1,0.01,25
2,5.86124413220788,0.2,0.28,25
2,0.00772029899331763,0.6,0.28,25
2,4.85494767307985e-06,1,0.28,25
2,13.6124024894211,0.2,0.42,25
2,0.112031343197061,0.6,0.42,25
2,7.91609554719664e-05,1,0.42,25
